iter	MultiClass
213	0.4015351847
214	0.401389523
215	0.4012437157
216	0.4009868676
217	0.4007757785
218	0.4005525896
219	0.4004492596
220	0.4002117852
221	0.4000485126
222	0.3998053655
223	0.3996048098
224	0.3992988057
225	0.3990931894
226	0.3989728661
227	0.3988670566
228	0.3987598316
229	0.3986046447
230	0.3982489086
231	0.3980422434
232	0.3978395702
233	0.397767014
234	0.3975266344
235	0.397300072
236	0.3971964476
237	0.3970130836
238	0.3969001979
239	0.3966857831
240	0.3964947303
241	0.3962526029
242	0.3960398358
243	0.3958621415
244	0.3956524823
245	0.395459436
246	0.3952595234
247	0.3951257057
248	0.3949579267
249	0.3947442492
250	0.394429639
251	0.3942428312
252	0.3939986939
253	0.3937495137
254	0.3936339814
255	0.3934351882
256	0.3932260297
257	0.3930404199
258	0.3929224779
259	0.3927029981
260	0.3925415922
261	0.3923315015
262	0.3922049142
263	0.3920933795
264	0.3919094382
265	0.3917224817
266	0.3916101411
267	0.3913838495
268	0.3912463395
269	0.3910189076
270	0.3908440303
271	0.3905456942
272	0.3903565362
273	0.3901788769
274	0.3901069722
275	0.3899493361
276	0.3897943183
277	0.3893713957
278	0.3891837057
279	0.3890238749
280	0.3888974408
281	0.3886691227
282	0.3885234891
283	0.3882133836
284	0.3880298266
285	0.3879364975
286	0.3877756326
287	0.3876041451
288	0.3873778637
289	0.3873189693
290	0.3870197867
291	0.3869673064
292	0.3867496028
293	0.3865877076
294	0.3864697143
295	0.3862444295
296	0.3861248212
297	0.3858823549
298	0.3856991495
299	0.3855873476
300	0.3854906247
301	0.3853976568
302	0.3852054698
303	0.385019269
304	0.3848573673
305	0.3845914538
306	0.3844312088
307	0.3842159361
308	0.384014228
309	0.3839053419
310	0.3837439311
311	0.3835620164
312	0.3834137157
313	0.383147261
314	0.3830782524
315	0.3829339277
316	0.3828345534
317	0.3826729642
318	0.3825506402
319	0.3824828438
320	0.3823318477
321	0.3820053324
322	0.3818109504
323	0.3816405798
324	0.3815513143
325	0.3813128456
326	0.3810473565
327	0.3808014603
328	0.3806055875
329	0.3805001949
330	0.3802585771
331	0.380066171
332	0.3799904536
333	0.3798673773
334	0.3796834647
335	0.3795655423
336	0.3794468227
337	0.3793147777
338	0.3791746625
339	0.3790953476
340	0.3789842305
341	0.378657605
342	0.3784279451
343	0.3782500572
344	0.3781882349
345	0.3779908985
346	0.3778880861
347	0.3777255893
348	0.3775966203
349	0.3774772114
350	0.3772204202
351	0.3771226848
352	0.3769094673
353	0.3767690411
354	0.3766962407
355	0.3766024872
356	0.3763800398
357	0.3763496598
358	0.3762491583
359	0.3760919085
360	0.3759052102
361	0.3757583234
362	0.3755318636
363	0.3754234154
364	0.3752738059
365	0.3752173387
366	0.3750362771
367	0.3748374342
368	0.3747506041
369	0.374585203
370	0.3743697916
371	0.3742178147
372	0.3738729455
373	0.373767647
374	0.373616732
375	0.3734866289
376	0.3732877928
377	0.3730967224
378	0.3729393222
379	0.3726667135
380	0.3725037137
381	0.3724014267
382	0.3723065862
383	0.3721290452
384	0.3719491126
385	0.371878452
386	0.3717956134
387	0.3716691409
388	0.3714854212
389	0.371442976
390	0.3712546113
391	0.3711197994
392	0.370960038
393	0.3708548774
394	0.3707467259
395	0.3705443152
396	0.3704238065
397	0.3703528787
398	0.3701789772
399	0.369945143
400	0.3697655009
401	0.3695422475
402	0.3693825606
403	0.3691809022
404	0.3691299656
405	0.3689461615
406	0.3687565537
407	0.3685720464
408	0.3683409547
409	0.3681245566
410	0.3679533054
411	0.3678423932
412	0.3676164046
413	0.3674388783
414	0.3672959274
415	0.366970002
416	0.3668018521
417	0.3666857834
418	0.3665680069
419	0.3663884874
420	0.3662610745
421	0.3661513825
422	0.365983204
423	0.3659152184
424	0.3658878721
425	0.3657644572
426	0.3656735015
427	0.3655408813
428	0.3654475029
429	0.3653713472
430	0.3653100674
431	0.36509236
432	0.3649292129
433	0.3648056185
434	0.3645698833
435	0.3645012447
436	0.3642636852
437	0.3639173063
438	0.3636637048
439	0.3636189168
440	0.3634849151
441	0.3633634654
442	0.363139184
443	0.3630064062
444	0.3628571298
445	0.3628025058
446	0.3627124251
447	0.3624982329
448	0.3623608691
449	0.3620962862
450	0.3619958775
451	0.3616926291
452	0.3613861437
453	0.3611975046
454	0.3610765067
455	0.3609260868
456	0.3607652952
457	0.3606171829
458	0.360426278
459	0.3602355248
460	0.3600711472
461	0.3599564288
462	0.3598448901
463	0.3597776222
464	0.3596740869
465	0.359451813
466	0.3592713512
467	0.3591227712
468	0.358943319
469	0.3587350349
470	0.3586337865
471	0.3584130984
472	0.3582711396
473	0.3581412796
474	0.3580497898
475	0.3578432942
476	0.3576918143
477	0.3575761645
478	0.3574383671
479	0.3573090687
480	0.3571347648
481	0.3568314018
482	0.3566819573
483	0.3564024144
484	0.3562334877
485	0.35600356
486	0.3557963501
487	0.3556028919
488	0.3555329183
489	0.3553715139
490	0.3551965499
491	0.3550540508
492	0.3550137864
493	0.3549165442
494	0.3547121668
495	0.3544354429
496	0.3542271762
497	0.3540813292
498	0.3539919296
499	0.353904461
500	0.3537847931
501	0.3536354807
502	0.3535067908
503	0.353399121
504	0.3532059153
505	0.3530208016
506	0.3528521202
507	0.3527322936
508	0.3526376314
509	0.3524457829
510	0.3523097057
511	0.3520783967
512	0.3520351222
513	0.3518925874
514	0.3517429467
515	0.35157513
516	0.3514769179
517	0.3513991699
518	0.3512849623
519	0.351197792
520	0.3510389551
521	0.3509441615
522	0.3508784598
523	0.3507440728
524	0.3506095017
525	0.3503252495
526	0.3501236087
527	0.349984497
528	0.3498802276
529	0.3497610484
530	0.3496843438
531	0.3496083811
532	0.3494512203
533	0.3492228936
534	0.3491506111
535	0.3490460711
536	0.3488889842
537	0.3487150343
538	0.3485987838
539	0.3484247937
540	0.3483075838
541	0.3481874613
542	0.3480608084
543	0.3479022503
544	0.3477410486
545	0.3476007428
546	0.3474729803
547	0.3474142486
548	0.3472879493
549	0.3471519893
550	0.347083661
551	0.3467707916
552	0.3465384835
553	0.3464262013
554	0.3463303696
555	0.3461825764
556	0.345992676
557	0.3457457869
558	0.3456065969
559	0.3454197073
560	0.3453296523
561	0.345129101
562	0.3449918608
563	0.3449140621
564	0.3447561352
565	0.3446588942
566	0.3445431921
567	0.3444681167
568	0.3442853246
569	0.3441371878
570	0.3440424548
571	0.3439051073
572	0.34380676
573	0.3436872754
574	0.3436186215
575	0.3434551754
576	0.3433226473
577	0.3432316149
578	0.3430264491
579	0.3428882431
580	0.3426416163
581	0.3425952719
582	0.3424907
583	0.3423677324
584	0.3422740585
585	0.3420934365
586	0.3420329552
587	0.3418628584
588	0.3417965519
589	0.3417410007
590	0.3415701867
591	0.3414632687
592	0.3412692083
593	0.341105671
594	0.3409948513
595	0.3407944081
596	0.3405878277
597	0.3404287908
598	0.3403015124
599	0.3402442062
600	0.3401190945
601	0.3398715456
602	0.3396335934
603	0.3394884308
604	0.3394046292
605	0.3392529612
606	0.3390834091
607	0.3389578039
608	0.338878322
609	0.3387084455
610	0.3386126431
611	0.3384633618
612	0.3383297124
613	0.3381837594
614	0.3380028849
615	0.3379149915
616	0.3377225745
617	0.3376073627
618	0.337508781
619	0.3374500895
620	0.3372038978
621	0.3369944528
622	0.3369423047
623	0.3368030195
624	0.3366904976
625	0.3365780798
626	0.3362830642
627	0.3361160323
628	0.3359555365
629	0.3358204365
630	0.3357193588
631	0.335626611
632	0.3355802604
633	0.3354751248
634	0.3353731911
635	0.3351328114
636	0.3350863785
637	0.3349854307
638	0.3348047475
639	0.3347128696
640	0.3346356905
641	0.3344923812
642	0.3343850071
643	0.3342245861
644	0.3341849537
645	0.3340026297
646	0.3338417158
647	0.3337039833
648	0.3335309701
649	0.3334611964
650	0.3333596324
651	0.333233905
652	0.3330729161
653	0.3330162092
654	0.3329587006
655	0.3328864786
656	0.3327619663
657	0.3326704379
658	0.3325396619
659	0.3323630787
660	0.3323068388
661	0.3321165721
662	0.3319247655
663	0.331727397
664	0.3315527782
665	0.3313288356
666	0.3311881736
667	0.3310845249
668	0.3309460943
669	0.3307316592
670	0.3306808393
671	0.3304785694
672	0.3303455512
673	0.3302406534
674	0.330147715
675	0.3301160942
676	0.3299063633
677	0.3298408978
678	0.3296967317
679	0.3296406644
680	0.3295170478
681	0.3293850296
682	0.329241431
683	0.3291506871
684	0.3290163265
685	0.3289544141
686	0.3288441918
687	0.3286624229
688	0.3285334846
689	0.3284006769
690	0.328305221
691	0.3281629284
692	0.3280505033
693	0.3278790374
694	0.3277927142
695	0.3276584648
696	0.3275491941
697	0.3274412015
698	0.3273318604
699	0.3272074296
700	0.3270462428
701	0.3269403818
702	0.3268239096
703	0.3266956671
704	0.3265079
705	0.3263361497
706	0.3262148266
707	0.326084896
708	0.3259074589
709	0.3257554257
710	0.3256476663
711	0.3255478735
712	0.3253785073
713	0.3251721505
714	0.3250504189
715	0.3249346588
716	0.3248230643
717	0.3246547794
718	0.3245620329
719	0.3244479136
720	0.3243243507
721	0.3241618703
722	0.3240513557
723	0.3238562351
724	0.3236759225
725	0.3236245935
726	0.3235374234
727	0.3234524728
728	0.3233575253
729	0.3231867036
730	0.3230881495
731	0.3229467612
732	0.3228662915
733	0.3227539006
734	0.3226843147
735	0.3225681303
736	0.3224827074
737	0.3224121818
738	0.3223417058
739	0.3221815117
740	0.3220827343
741	0.3219584991
742	0.3218080093
743	0.3217125594
744	0.3216614413
745	0.321570608
746	0.3214898221
747	0.3212977985
748	0.3211570489
749	0.3210344402
750	0.3209664276
751	0.3208715049
752	0.3208017272
753	0.320727979
754	0.3206551505
755	0.3206229481
756	0.32048684
757	0.3204302579
758	0.3202647004
759	0.3201771354
760	0.3200241077
761	0.3199373817
762	0.3197987728
763	0.3197486311
764	0.3195717117
765	0.319449287
766	0.319272581
767	0.3190626851
768	0.3189876772
769	0.3188131654
770	0.3185715799
771	0.3184728519
772	0.3183468343
773	0.3182088957
774	0.318067601
775	0.3179561344
776	0.3177602156
777	0.3175411906
778	0.3174060149
779	0.3172198641
780	0.3171185769
781	0.3170217428
782	0.3168983842
783	0.3167003184
784	0.3165818447
785	0.3164763939
786	0.3163576423
787	0.3162984444
788	0.3161685303
789	0.3160314524
790	0.3159092029
791	0.3157903623
792	0.3156833111
793	0.3156070084
794	0.3154513562
795	0.3153416879
796	0.3152238929
797	0.3150920427
798	0.3150148887
799	0.314805923
800	0.3145472306
801	0.3144605133
802	0.3144037251
803	0.314289031
804	0.3141477892
805	0.3139854327
806	0.313834993
807	0.313763091
808	0.3136839301
809	0.313598005
810	0.3134636387
811	0.3133653204
812	0.3132509845
813	0.313168721
814	0.313082841
815	0.3129003651
816	0.3127601706
817	0.312716238
818	0.3126261839
819	0.312595111
820	0.3124481878
821	0.3123449819
822	0.3122263425
823	0.3120843465
824	0.3119652324
825	0.3118717963
826	0.3117179429
827	0.3116594118
828	0.3114764806
829	0.311255424
830	0.3111275244
831	0.3110504719
832	0.3109021134
833	0.3108142787
834	0.3107235827
835	0.3106550769
836	0.3105093053
837	0.3103857798
838	0.3102760511
839	0.3101879593
840	0.3100691674
841	0.3100017982
842	0.3099762415
843	0.3098094726
844	0.3096062628
845	0.3094784347
846	0.3093575924
847	0.3091814692
848	0.3091248961
849	0.3089527911
850	0.3088567803
851	0.3087270898
852	0.3086021855
853	0.3084027786
854	0.3083354224
855	0.3082175919
856	0.3081534855
857	0.3080303559
858	0.3079447076
859	0.3076505547
860	0.3075758772
861	0.307469424
862	0.3073389142
863	0.3072221794
864	0.3070794725
865	0.3070098781
866	0.3068464457
867	0.3067498908
868	0.3066344109
869	0.306528815
870	0.3064305074
871	0.3063203078
872	0.3061605239
873	0.3060198269
874	0.3058649662
875	0.3058084105
876	0.3056854908
877	0.3055862748
878	0.3054315345
879	0.305223882
880	0.3050186778
881	0.3048946157
882	0.3048192106
883	0.3046571313
884	0.3045320911
885	0.3044712797
886	0.3043852053
887	0.3043091601
888	0.3042537124
889	0.3041590815
890	0.3040621925
891	0.3039532661
892	0.3037675401
893	0.3036741508
894	0.303574986
895	0.3034220612
896	0.3033154813
897	0.3032601949
898	0.3030839575
899	0.3030104734
900	0.3029353414
901	0.3028274233
902	0.3027268736
903	0.3025700739
904	0.3025019997
905	0.3023750558
906	0.3022302186
907	0.3020342361
908	0.3019864002
909	0.3019326468
910	0.3018287469
911	0.3016545924
912	0.3015649588
913	0.3014256867
914	0.3012912498
915	0.301113429
916	0.3009851873
917	0.3008595751
918	0.3006780922
919	0.3005651451
920	0.3004481496
921	0.3003667597
922	0.300224636
923	0.300158296
924	0.3000729809
925	0.3000306957
926	0.2999752754
927	0.2998858182
928	0.299739034
929	0.29967849
930	0.2995269754
931	0.2993373661
932	0.299308936
933	0.2992348939
934	0.2991147138
935	0.2990554935
936	0.2990046071
937	0.2989053895
938	0.298825421
939	0.2987581628
940	0.2986816561
941	0.2985738651
942	0.2984669119
943	0.2983492945
944	0.2982459873
945	0.2981353567
946	0.2979614255
947	0.2979158439
948	0.2977933049
949	0.2976899
950	0.2975873283
951	0.2974744302
952	0.2974178088
953	0.2973513845
954	0.2972991843
955	0.2972194158
956	0.2970975451
957	0.2969534325
958	0.2968785145
959	0.2967367058
960	0.2966473956
961	0.2965981015
962	0.2964881616
963	0.2964296013
964	0.296288127
965	0.2961564038
966	0.2960182913
967	0.2959354356
968	0.2957593492
969	0.2956536612
970	0.2955422992
971	0.2954208534
972	0.295355743
973	0.2952458699
974	0.2951599798
975	0.2951126422
976	0.2949872684
977	0.2949288895
978	0.2947621053
979	0.2946529211
980	0.2945661385
981	0.2944099153
982	0.2942802891
983	0.2941960325
984	0.294085713
985	0.2939484872
986	0.2938169634
987	0.293676794
988	0.2935743969
989	0.2934979539
990	0.2934272249
991	0.2932262294
992	0.2930671318
993	0.2930127138
994	0.2928261713
995	0.2927925191
996	0.2927142141
997	0.2926492264
998	0.2925849177
999	0.2924920519
